Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,Parameters (M),0.1879,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
2,MaxAE,0.1068,abupt,regdgcnn,transolver,transolver_pp,pointnet,geofno
3,Inference Time (s),0.1045,pointnet,geofno,transolver,abupt,transolver_pp,regdgcnn
4,MAPE (%),0.093,regdgcnn,abupt,transolver_pp,transolver,geofno,pointnet
5,MAE,0.0886,abupt,regdgcnn,transolver,transolver_pp,geofno,pointnet
6,Training Time (s),0.0843,pointnet,geofno,transolver_pp,transolver,regdgcnn,abupt
7,MAC,0.0843,abupt,regdgcnn,transolver,transolver_pp,geofno,pointnet
8,RMSE,0.0835,abupt,regdgcnn,transolver,transolver_pp,geofno,pointnet
9,Rel-L2,0.0835,abupt,transolver,regdgcnn,transolver_pp,geofno,pointnet
10,R²,0.0835,abupt,transolver,regdgcnn,transolver_pp,geofno,pointnet
