Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,Training Time (s),0.1865,transolver,geofno,regdgcnn,transolver_pp,pointnet,abupt
2,Inference Time (s),0.1572,pointnet,transolver_pp,transolver,regdgcnn,abupt,geofno
3,Parameters (M),0.0996,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
4,MaxAE,0.0992,abupt,transolver,regdgcnn,pointnet,transolver_pp,geofno
5,MAPE (%),0.0893,transolver_pp,abupt,transolver,regdgcnn,geofno,pointnet
6,MAE,0.0759,abupt,transolver,transolver_pp,regdgcnn,geofno,pointnet
7,MAC,0.074,abupt,transolver,transolver_pp,regdgcnn,geofno,pointnet
8,RMSE,0.0728,abupt,transolver,transolver_pp,regdgcnn,geofno,pointnet
9,Rel-L2,0.0728,abupt,transolver,transolver_pp,regdgcnn,geofno,pointnet
10,R²,0.0728,abupt,transolver,transolver_pp,regdgcnn,geofno,pointnet
