Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,Inference Time (s),0.2683,pointnet,transolver_pp,transolver,regdgcnn,abupt,geofno
2,MaxAE,0.1093,transolver,pointnet,regdgcnn,transolver_pp,abupt,geofno
3,Training Time (s),0.1061,geofno,transolver,pointnet,transolver_pp,regdgcnn,abupt
4,Parameters (M),0.088,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
5,MAC,0.0733,abupt,transolver,regdgcnn,transolver_pp,pointnet,geofno
6,RMSE,0.0712,abupt,transolver,regdgcnn,transolver_pp,pointnet,geofno
7,Rel-L2,0.0712,abupt,transolver,regdgcnn,transolver_pp,pointnet,geofno
8,R²,0.0712,abupt,transolver,regdgcnn,pointnet,transolver_pp,geofno
9,MAPE (%),0.0711,abupt,transolver_pp,transolver,regdgcnn,pointnet,geofno
10,MAE,0.0702,abupt,transolver,transolver_pp,regdgcnn,pointnet,geofno
