Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,Parameters (M),0.1601,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
2,Inference Time (s),0.1127,pointnet,geofno,transolver,abupt,transolver_pp,regdgcnn
3,MaxAE,0.1043,regdgcnn,abupt,pointnet,transolver,transolver_pp,geofno
4,Training Time (s),0.0997,pointnet,geofno,transolver,transolver_pp,abupt,regdgcnn
5,MAPE (%),0.0927,abupt,regdgcnn,transolver_pp,transolver,pointnet,geofno
6,RMSE,0.0868,abupt,regdgcnn,transolver,transolver_pp,pointnet,geofno
7,Rel-L2,0.0868,abupt,transolver,transolver_pp,regdgcnn,pointnet,geofno
8,R²,0.0868,abupt,transolver,transolver_pp,regdgcnn,pointnet,geofno
9,MAC,0.0858,abupt,regdgcnn,transolver,transolver_pp,pointnet,geofno
10,MAE,0.0843,abupt,regdgcnn,transolver,transolver_pp,pointnet,geofno
