Rank,domain,task,model,dataset,size,Unified Score,Graph Density,Parameters (M) (Value),Parameters (M) (Rank),Parameters (M) (Weight),Training Time (s) (Value),Training Time (s) (Rank),Training Time (s) (Weight),Inference Time (s) (Value),Inference Time (s) (Rank),Inference Time (s) (Weight),MS-SSIM (Value),MS-SSIM (Rank),MS-SSIM (Weight),MV-FID (Value),MV-FID (Rank),MV-FID (Weight),FPD (Value),FPD (Rank),FPD (Weight),CD (Value),CD (Rank),CD (Weight),EMD (Value),EMD (Rank),EMD (Weight),F-Score (Value),F-Score (Rank),F-Score (Weight),Precision (Value),Precision (Rank),Precision (Weight),Density (Value),Density (Rank),Density (Weight),Recall (Value),Recall (Rank),Recall (Weight),Coverage (Value),Coverage (Rank),Coverage (Weight)
1,dimension_3d,generation,deepsdf,deepjeb_3d_3d,L,100.0,0.5,2.1509,2,0.0774,11068.8534,2,0.0774,1.3113,3,0.0706,0.4468,2,0.0774,36.8435,1,0.0706,16.9469,1,0.0706,18.9391,3,0.0706,129.9205,1,0.0706,0.666,3,0.0706,0.064,2,0.0774,0.014,2,0.0774,0.044,1,0.1124,0.052,2,0.0774
1,dimension_3d,generation,pointflow,deepjeb_3d_3d,M,100.0,0.5,0.6859,1,0.0751,6696.1446,2,0.0791,0.8593,2,0.0791,0.5274,2,0.0791,111.7019,2,0.0791,23.0413,2,0.0791,17.3819,1,0.0751,130.5005,2,0.0791,0.7068,1,0.0751,0.108,1,0.0751,0.0276,1,0.0751,0.0,3,0.0751,0.044,1,0.0751
1,dimension_3d,generation,deepsdf,deepjeb_3d_3d,S,100.0,0.5,2.1509,2,0.0314,5935.2364,3,0.032,1.4037,3,0.032,0.443,1,0.0375,249.4162,2,0.0314,39.8136,1,0.032,25.6931,2,0.0314,137.8643,2,0.0314,0.656,2,0.0314,0.0,1,0.22,0.0,1,0.22,0.012,1,0.0493,0.0,1,0.22
1,dimension_3d,generation,deepsdf,deepjeb_3d_3d,XL,100.0,0.5,2.1509,2,0.0764,14574.21,2,0.0764,1.3591,3,0.0733,0.4364,2,0.0764,30.549,1,0.0733,15.7459,1,0.0733,22.6656,3,0.0776,136.6468,3,0.0776,0.6644,3,0.0776,0.106,2,0.0764,0.028,2,0.0764,0.108,1,0.092,0.076,1,0.0733
1,dimension_3d,generation,pointflow,drivaernet_3d_3d,L,100.0,0.5,0.6859,1,0.0651,16805.1325,3,0.0651,0.8354,2,0.1258,0.6525,3,0.0651,22.2308,1,0.0651,5.8621,1,0.0651,3.7734,1,0.0651,110.847,2,0.1258,0.9957,1,0.0651,0.04,1,0.076,0.0092,1,0.076,0.056,1,0.0651,0.03,1,0.076
1,dimension_3d,generation,pointflow,drivaernet_3d_3d,M,100.0,0.5,0.6859,1,0.0651,9833.7792,3,0.0651,0.9755,2,0.1258,0.6468,3,0.0651,52.9461,1,0.0651,7.5453,1,0.0651,3.8087,1,0.0651,110.7004,1,0.0651,0.9936,1,0.0651,0.008,1,0.076,0.0016,1,0.076,0.016,2,0.1258,0.006,1,0.076
1,dimension_3d,generation,pointflow,drivaernet_3d_3d,S,100.0,0.5,0.6859,1,0.0373,4979.0604,2,0.0339,0.6738,2,0.0339,0.6443,3,0.0249,145.578,1,0.0249,26.0038,1,0.0249,3.6793,1,0.0249,110.3896,1,0.0249,0.9856,1,0.0249,0.0,1,0.1864,0.0,1,0.1864,0.0,1,0.1864,0.0,1,0.1864
1,dimension_3d,generation,pointflow,drivaernet_3d_3d,XL,100.0,0.5,0.6859,1,0.0681,39030.3542,3,0.0681,0.8807,2,0.1374,0.6656,3,0.0681,22.2514,1,0.0681,12.0639,1,0.0681,3.7747,1,0.0879,110.0545,1,0.0681,0.9972,1,0.0879,0.4167,1,0.07,0.2278,1,0.07,0.1389,1,0.0681,0.5,1,0.07
2,dimension_3d,generation,pointflow,deepjeb_3d_3d,L,42.3339,0.5,0.6859,1,0.0774,11163.8343,3,0.0774,0.7613,2,0.0706,0.5241,3,0.0774,109.8134,2,0.0706,22.6278,2,0.0706,17.6554,2,0.0706,131.0932,2,0.0706,0.6998,2,0.0706,0.096,1,0.0774,0.0272,1,0.0774,0.0,2,0.1124,0.058,1,0.0774
2,dimension_3d,generation,deepsdf,deepjeb_3d_3d,M,55.0851,0.5,2.1509,2,0.0751,11727.0644,3,0.0791,1.3358,3,0.0791,0.4543,1,0.0791,48.8453,1,0.0791,19.8641,1,0.0791,18.5573,2,0.0751,129.1917,1,0.0791,0.6741,2,0.0751,0.034,2,0.0751,0.0092,2,0.0751,0.118,2,0.0751,0.032,2,0.0751
2,dimension_3d,generation,pointflow,deepjeb_3d_3d,S,44.6834,0.5,0.6859,1,0.0314,3390.694,2,0.032,0.8384,2,0.032,0.5207,3,0.0375,206.532,1,0.0314,43.5341,2,0.032,16.5248,1,0.0314,130.2708,1,0.0314,0.7199,1,0.0314,0.0,1,0.22,0.0,1,0.22,0.0,2,0.0493,0.0,1,0.22
2,dimension_3d,generation,pointflow,deepjeb_3d_3d,XL,44.2163,0.5,0.6859,1,0.0764,25991.56,3,0.0764,0.7734,2,0.0733,0.5273,3,0.0764,91.2012,2,0.0733,19.1458,2,0.0733,17.5947,1,0.0776,130.9302,1,0.0776,0.7033,1,0.0776,0.178,1,0.0764,0.0548,1,0.0764,0.0,2,0.092,0.072,2,0.0733
2,dimension_3d,generation,deepsdf,drivaernet_3d_3d,L,43.9587,0.5,2.1509,2,0.0651,12718.016,2,0.0651,1.3407,3,0.1258,0.6426,2,0.0651,27.8219,2,0.0651,14.7928,2,0.0651,5.2997,2,0.0651,110.8323,1,0.1258,0.9732,2,0.0651,0.0,2,0.076,0.0,2,0.076,0.008,2,0.0651,0.0,2,0.076
2,dimension_3d,generation,deepsdf,drivaernet_3d_3d,M,43.9786,0.5,2.1509,2,0.0651,8379.6039,2,0.0651,1.3964,3,0.1258,0.6301,2,0.0651,61.5852,2,0.0651,22.5501,2,0.0651,5.9129,2,0.0651,114.8467,2,0.0651,0.9524,2,0.0651,0.0,2,0.076,0.0,2,0.076,0.644,1,0.1258,0.0,2,0.076
2,dimension_3d,generation,gan3d,drivaernet_3d_3d,S,42.8091,0.5,74.9842,3,0.0373,2538.3491,1,0.0339,0.0108,1,0.0339,0.6023,2,0.0249,328.4407,2,0.0249,233.6479,2,0.0249,109.5072,2,0.0249,341.9793,2,0.0249,0.5786,2,0.0249,0.0,1,0.1864,0.0,1,0.1864,0.0,1,0.1864,0.0,1,0.1864
2,dimension_3d,generation,deepsdf,drivaernet_3d_3d,XL,40.5942,0.5,2.1509,2,0.0681,25754.9423,2,0.0681,1.3256,3,0.1374,0.6395,2,0.0681,35.7452,2,0.0681,17.1466,2,0.0681,5.0635,3,0.0879,110.8431,2,0.0681,0.9707,3,0.0879,0.0,2,0.07,0.0,2,0.07,0.022,2,0.0681,0.0,2,0.07
3,dimension_3d,generation,gan3d,deepjeb_3d_3d,L,40.0,0.5,74.9842,3,0.0774,5819.1874,1,0.0774,0.0109,1,0.0706,0.4332,1,0.0774,338.1577,3,0.0706,43.7692,3,0.0706,17.4895,1,0.0706,140.1352,3,0.0706,0.7061,1,0.0706,0.0,3,0.0774,0.0,3,0.0774,0.0,2,0.1124,0.0,3,0.0774
3,dimension_3d,generation,gan3d,deepjeb_3d_3d,M,40.0,0.5,74.9842,3,0.0751,2259.2297,1,0.0791,0.0109,1,0.0791,0.5566,3,0.0791,340.255,3,0.0791,239.2481,3,0.0791,165.4598,3,0.0751,456.3283,3,0.0791,0.3953,3,0.0751,0.0,3,0.0751,0.0,3,0.0751,0.216,1,0.0751,0.0,3,0.0751
