Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,MS-SSIM,0.1135,gan3d,deepsdf,atlasnet,pointflow,diffusionpointcloud,shapegf
2,Recall,0.0966,deepsdf,gan3d,pointflow,atlasnet,diffusionpointcloud,shapegf
3,F-Score,0.0929,atlasnet,pointflow,diffusionpointcloud,deepsdf,gan3d,shapegf
4,CD,0.0919,atlasnet,pointflow,diffusionpointcloud,deepsdf,shapegf,gan3d
5,Inference Time (s),0.085,atlasnet,gan3d,diffusionpointcloud,shapegf,pointflow,deepsdf
6,Parameters (M),0.0694,pointflow,deepsdf,diffusionpointcloud,shapegf,atlasnet,gan3d
7,MV-FID,0.0682,deepsdf,pointflow,atlasnet,gan3d,shapegf,diffusionpointcloud
8,Density,0.0667,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
9,Precision,0.0667,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
10,Coverage,0.0657,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
11,Training Time (s),0.0636,diffusionpointcloud,shapegf,gan3d,atlasnet,deepsdf,pointflow
12,EMD,0.0605,pointflow,atlasnet,deepsdf,diffusionpointcloud,shapegf,gan3d
13,FPD,0.0594,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
