Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,EMD,0.1416,diffusionpointcloud,deepsdf,atlasnet,pointflow,gan3d,shapegf
2,MS-SSIM,0.1103,gan3d,deepsdf,shapegf,pointflow,atlasnet,diffusionpointcloud
3,Recall,0.0788,deepsdf,atlasnet,diffusionpointcloud,gan3d,pointflow,shapegf
4,CD,0.0732,atlasnet,diffusionpointcloud,gan3d,pointflow,shapegf,deepsdf
5,MV-FID,0.0729,deepsdf,pointflow,atlasnet,gan3d,diffusionpointcloud,shapegf
6,Parameters (M),0.0719,pointflow,deepsdf,diffusionpointcloud,shapegf,atlasnet,gan3d
7,Inference Time (s),0.0694,gan3d,atlasnet,diffusionpointcloud,shapegf,pointflow,deepsdf
8,FPD,0.0671,deepsdf,pointflow,gan3d,atlasnet,shapegf,diffusionpointcloud
9,Training Time (s),0.0632,diffusionpointcloud,atlasnet,gan3d,shapegf,deepsdf,pointflow
10,F-Score,0.0632,atlasnet,diffusionpointcloud,shapegf,gan3d,pointflow,deepsdf
11,Precision,0.0628,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
12,Density,0.0628,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
13,Coverage,0.0628,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
