Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,Recall,0.126,gan3d,deepsdf,atlasnet,diffusionpointcloud,pointflow,shapegf
2,F-Score,0.1055,atlasnet,diffusionpointcloud,pointflow,deepsdf,gan3d,shapegf
3,CD,0.1029,atlasnet,diffusionpointcloud,pointflow,deepsdf,shapegf,gan3d
4,Inference Time (s),0.0768,atlasnet,gan3d,diffusionpointcloud,shapegf,pointflow,deepsdf
5,MV-FID,0.0744,deepsdf,atlasnet,pointflow,gan3d,shapegf,diffusionpointcloud
6,MS-SSIM,0.0697,deepsdf,atlasnet,pointflow,gan3d,diffusionpointcloud,shapegf
7,Parameters (M),0.0692,pointflow,deepsdf,diffusionpointcloud,shapegf,atlasnet,gan3d
8,Training Time (s),0.0652,diffusionpointcloud,gan3d,shapegf,atlasnet,deepsdf,pointflow
9,Precision,0.064,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
10,Density,0.064,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
11,Coverage,0.062,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
12,EMD,0.0612,pointflow,atlasnet,deepsdf,diffusionpointcloud,shapegf,gan3d
13,FPD,0.0591,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
