Rank,Metric,Weight,Rank 1,Rank 2,Rank 3
1,Coverage,0.1864,deepsdf,gan3d,pointflow
2,Precision,0.1864,deepsdf,gan3d,pointflow
3,Density,0.1864,deepsdf,gan3d,pointflow
4,Recall,0.1864,deepsdf,gan3d,pointflow
5,Parameters (M),0.0373,pointflow,deepsdf,gan3d
6,Inference Time (s),0.0339,gan3d,pointflow,deepsdf
7,Training Time (s),0.0339,gan3d,pointflow,deepsdf
8,MV-FID,0.0249,pointflow,gan3d,deepsdf
9,MS-SSIM,0.0249,deepsdf,gan3d,pointflow
10,F-Score,0.0249,pointflow,gan3d,deepsdf
11,EMD,0.0249,pointflow,gan3d,deepsdf
12,CD,0.0249,pointflow,gan3d,deepsdf
13,FPD,0.0249,pointflow,gan3d,deepsdf
