Rank,domain,task,model,dataset,size,Unified Score,Graph Density,Parameters (M) (Value),Parameters (M) (Rank),Parameters (M) (Weight),Training Time (s) (Value),Training Time (s) (Rank),Training Time (s) (Weight),Inference Time (s) (Value),Inference Time (s) (Rank),Inference Time (s) (Weight),MS-SSIM (Value),MS-SSIM (Rank),MS-SSIM (Weight),MV-FID (Value),MV-FID (Rank),MV-FID (Weight),FPD (Value),FPD (Rank),FPD (Weight),MMD-CD (Value),MMD-CD (Rank),MMD-CD (Weight),COV-CD (Value),COV-CD (Rank),COV-CD (Weight),1-NNA-CD (Value),1-NNA-CD (Rank),1-NNA-CD (Weight),Precision (Value),Precision (Rank),Precision (Weight),Density (Value),Density (Rank),Density (Weight),Recall (Value),Recall (Rank),Recall (Weight),Coverage (Value),Coverage (Rank),Coverage (Weight),Manifold-Δ (Value),Manifold-Δ (Rank),Manifold-Δ (Weight),Uniformity-Δ (Value),Uniformity-Δ (Rank),Uniformity-Δ (Weight)
1,dimension_3d,generation,deepsdf,deepjeb_3d_3d,L,100.0,0.5,2.1509,2,0,8873.8756,4,0,0.3643,6,0,0.5375,5,0.1612,40.8772,1,0.0768,15.6485,1,0.0685,3.2415,2,0.0736,0.138,4,0.1169,0.945,2,0.0678,0.99,1,0.0645,1.5768,1,0.0645,0.074,2,0.0677,0.434,1,0.0645,0.0095,1,0.0813,0.0004,1,0.0927
1,dimension_3d,generation,deepsdf,deepjeb_3d_3d,M,100.0,0.5,2.1509,2,0,6885.5817,4,0,0.3654,6,0,0.54,4,0.1932,33.7771,1,0.0856,8.9434,1,0.0672,2.8903,1,0.0672,0.278,2,0.0843,0.908,1,0.0685,0.98,1,0.0685,1.3864,1,0.0685,0.372,1,0.0685,0.678,1,0.0685,0.0103,1,0.0856,0.0002,1,0.0745
1,dimension_3d,generation,deepsdf,deepjeb_3d_3d,S,100.0,0.5,2.1509,2,0,5487.0288,4,0,0.3676,6,0,0.5201,4,0.2474,23.5481,1,0.0765,7.5457,1,0.0666,2.7832,1,0.0666,0.366,1,0.0674,0.886,1,0.063,0.836,1,0.063,0.8588,1,0.063,0.59,1,0.0706,0.726,1,0.063,0.0012,1,0.0765,0.0008,1,0.0765
1,dimension_3d,generation,deepsdf,deepjeb_3d_3d,XL,100.0,0.5,2.1509,2,0,28374.3133,4,0,0.3732,6,0,0.5178,2,0.2,45.0323,1,0.0648,17.6811,2,0.0664,3.1324,2,0.0716,0.186,3,0.0884,0.934,2,0.0691,0.986,1,0.0668,1.3896,1,0.0668,0.158,1,0.0661,0.508,1,0.0668,0.0016,1,0.0857,0.0001,1,0.0875
1,dimension_3d,generation,deepsdf,deepwheel_3d_3d,L,100.0,0.5,2.1509,2,0,5640.0429,4,0,0.4356,6,0,0.2574,2,0.1381,63.8568,1,0.0701,4.5332,2,0.0729,3.8197,3,0.1012,0.208,2,0.0787,0.977,1,0.0796,0.732,1,0.0722,0.736,1,0.0722,0.186,2,0.0757,0.532,1,0.0722,0.0071,1,0.0852,0.0073,1,0.0819
1,dimension_3d,generation,deepsdf,deepwheel_3d_3d,M,100.0,0.5,2.1509,2,0,4619.8835,4,0,0.4573,6,0,0.2622,3,0.1782,80.0762,1,0.0721,4.8719,1,0.0721,3.888,1,0.0765,0.156,2,0.0785,0.979,1,0.0711,0.672,1,0.0711,0.6308,1,0.0711,0.156,2,0.0791,0.468,1,0.0711,0.0047,1,0.0765,0.0077,1,0.0826
1,dimension_3d,generation,deepsdf,deepwheel_3d_3d,S,100.0,0.5,2.1509,2,0,2965.9415,4,0,0.4463,6,0,0.2601,1,0.077,96.2667,1,0.0761,4.8569,1,0.072,3.8433,1,0.072,0.11,3,0.1541,0.959,1,0.0759,0.706,1,0.0759,0.696,1,0.0759,0.18,1,0.0736,0.472,1,0.0759,0.0004,1,0.077,0.0034,1,0.0949
1,dimension_3d,generation,pointflow,deepwheel_3d_3d,XL,100.0,0.5,1.4268,1,0,468938.6541,6,0,0.2465,4,0,0.2649,3,0.0761,120.5905,2,0.0761,4.1904,1,0.0867,3.7284,1,0.0811,0.268,1,0.0811,0.974,1,0.0795,0.45,2,0.0744,0.2464,2,0.0744,0.356,1,0.0867,0.442,2,0.0744,0.0159,4,0.1286,0.0203,2,0.0809
1,dimension_3d,generation,pointflow,drivaernet_3d_3d,L,100.0,0.5,1.4268,1,0,148843.1737,6,0,0.1298,3,0,0.6549,3,0.2274,67.2838,2,0.0644,3.951,1,0.0616,1.7878,1,0.0698,0.384,1,0.0767,0.868,1,0.0844,0.196,1,0.0636,0.0752,2,0.0676,0.454,1,0.0636,0.232,1,0.0636,0.0264,3,0.0816,0.014,2,0.0755
1,dimension_3d,generation,deepsdf,drivaernet_3d_3d,M,100.0,0.5,2.1509,2,0,8983.0511,4,0,0.3529,6,0,0.6542,3,0.1476,13.6663,1,0.0728,8.8074,2,0.0742,1.9166,1,0.0728,0.154,2,0.0742,1.0,2,0.1216,0.086,1,0.0718,0.0328,1,0.0718,0.11,1,0.0718,0.122,1,0.0718,0.0251,1,0.0713,0.0039,1,0.0785
1,dimension_3d,generation,pointflow,drivaernet_3d_3d,S,100.0,0.5,1.4268,1,0,12630.9803,5,0,0.0817,3,0,0.652,3,0.0669,134.8389,1,0.0318,9.0798,1,0.0383,2.0916,1,0.0356,0.352,1,0.0345,0.981,1,0.0352,0.0,1,0.2073,0.0,1,0.2073,0.016,1,0.0352,0.0,1,0.2073,0.0469,1,0.0318,0.0626,2,0.0689
1,dimension_3d,generation,pointflow,drivaernet_3d_3d,XL,100.0,0.5,1.4268,1,0,479880.2307,6,0,0.1908,3,0,0.6535,4,0.1915,40.5325,2,0.077,3.042,1,0.0703,1.6788,1,0.067,0.484,1,0.0716,0.801,1,0.1034,0.452,1,0.0635,0.2704,1,0.0635,0.704,1,0.0666,0.608,1,0.0635,0.0137,1,0.0829,0.01,2,0.0793
2,dimension_3d,generation,pointflow,deepjeb_3d_3d,L,65.3097,0.5,1.4268,1,0,103089.6448,6,0,0.1078,3,0,0.5219,3,0.1612,177.7062,3,0.0768,17.9708,2,0.0685,2.8367,1,0.0736,0.338,1,0.1169,0.929,1,0.0678,0.664,2,0.0645,0.396,2,0.0645,0.09,1,0.0677,0.226,2,0.0645,0.0977,3,0.0813,0.0749,3,0.0927
2,dimension_3d,generation,pointflow,deepjeb_3d_3d,M,46.4489,0.5,1.4268,1,0,36194.2577,5,0,0.0809,3,0,0.5315,3,0.1932,260.8403,3,0.0856,32.4686,2,0.0672,3.1648,2,0.0672,0.302,1,0.0843,0.979,2,0.0685,0.408,2,0.0685,0.1288,2,0.0685,0.002,2,0.0685,0.054,2,0.0685,0.1266,4,0.0856,0.0577,3,0.0745
2,dimension_3d,generation,pointflow,deepjeb_3d_3d,S,59.0545,0.5,1.4268,1,0,11571.9228,5,0,0.0667,3,0,0.5128,1,0.2474,283.2265,3,0.0765,34.7306,2,0.0666,3.172,2,0.0666,0.26,2,0.0674,0.987,2,0.063,0.166,2,0.063,0.0368,2,0.063,0.0,2,0.0706,0.024,2,0.063,0.1262,3,0.0765,0.0696,2,0.0765
2,dimension_3d,generation,pointflow,deepjeb_3d_3d,XL,65.2245,0.5,1.4268,1,0,61903.5365,5,0,0.1356,3,0,0.5301,4,0.2,142.7062,2,0.0648,14.2168,1,0.0664,2.6623,1,0.0716,0.418,1,0.0884,0.864,1,0.0691,0.788,2,0.0668,0.6512,2,0.0668,0.15,2,0.0661,0.406,2,0.0668,0.0845,3,0.0857,0.0717,3,0.0875
2,dimension_3d,generation,pointflow,deepwheel_3d_3d,L,65.0524,0.5,1.4268,1,0,220132.5913,6,0,0.1887,3,0,0.2665,3,0.1381,125.1347,2,0.0701,4.4462,1,0.0729,3.7817,2,0.1012,0.238,1,0.0787,0.984,3,0.0796,0.286,2,0.0722,0.1376,2,0.0722,0.35,1,0.0757,0.316,2,0.0722,0.0164,3,0.0852,0.0119,2,0.0819
2,dimension_3d,generation,pointflow,deepwheel_3d_3d,M,61.6408,0.5,1.4268,1,0,43269.9281,6,0,0.3887,5,0,0.2757,4,0.1782,155.482,2,0.0721,5.9125,2,0.0721,3.8906,2,0.0765,0.236,1,0.0785,0.998,2,0.0711,0.022,2,0.0711,0.0056,2,0.0711,0.274,1,0.0791,0.026,2,0.0711,0.0131,2,0.0765,0.0155,2,0.0826
2,dimension_3d,generation,pointflow,deepwheel_3d_3d,S,47.6965,0.5,1.4268,1,0,11657.1702,6,0,0.0766,3,0,0.2767,3,0.077,220.4643,3,0.0761,10.411,2,0.072,4.0247,2,0.072,0.248,1,0.1541,1.0,2,0.0759,0.0,2,0.0759,0.0,2,0.0759,0.016,2,0.0736,0.0,2,0.0759,0.0218,3,0.077,0.0339,2,0.0949
2,dimension_3d,generation,deepsdf,deepwheel_3d_3d,XL,59.9396,0.5,2.1509,2,0,9379.8074,4,0,0.4351,6,0,0.2613,2,0.0761,73.6449,1,0.0761,4.9463,2,0.0867,3.85,2,0.0811,0.162,2,0.0811,0.99,2,0.0795,0.612,1,0.0744,0.4416,1,0.0744,0.342,2,0.0867,0.446,1,0.0744,0.0097,1,0.1286,0.0099,1,0.0809
2,dimension_3d,generation,deepsdf,drivaernet_3d_3d,L,61.2961,0.5,2.1509,2,0,30358.9766,4,0,0.3929,6,0,0.6558,4,0.2274,7.8039,1,0.0644,5.6824,2,0.0616,2.0365,3,0.0698,0.102,3,0.0767,1.0,2,0.0844,0.174,2,0.0636,0.0804,1,0.0676,0.05,2,0.0636,0.182,2,0.0636,0.0209,1,0.0816,0.004,1,0.0755
2,dimension_3d,generation,pointflow,drivaernet_3d_3d,M,66.9767,0.5,1.4268,1,0,46946.2861,5,0,0.0958,3,0,0.6484,2,0.1476,113.7816,2,0.0728,6.4864,1,0.0742,1.9382,2,0.0728,0.388,1,0.0742,0.852,1,0.1216,0.004,2,0.0718,0.0008,2,0.0718,0.098,2,0.0718,0.004,2,0.0718,0.0432,2,0.0713,0.0297,2,0.0785
2,dimension_3d,generation,deepsdf,drivaernet_3d_3d,S,41.8657,0.5,2.1509,2,0,7474.5443,4,0,2.1029,6,0,0.4017,1,0.0669,319.3579,3,0.0318,221.1592,4,0.0383,21.9427,5,0.0356,0.04,4,0.0345,1.0,2,0.0352,0.0,1,0.2073,0.0,1,0.2073,0.0,2,0.0352,0.0,1,0.2073,0.0691,3,0.0318,0.0038,1,0.0689
2,dimension_3d,generation,deepsdf,drivaernet_3d_3d,XL,55.3631,0.5,2.1509,2,0,58633.7823,4,0,0.3518,6,0,0.6526,3,0.1915,12.6045,1,0.077,7.6526,2,0.0703,1.9873,2,0.067,0.176,2,0.0716,1.0,3,0.1034,0.068,2,0.0635,0.0252,2,0.0635,0.118,2,0.0666,0.094,2,0.0635,0.0262,4,0.0829,0.0044,1,0.0793
3,dimension_3d,generation,gan3d,deepjeb_3d_3d,L,40.4164,0.5,74.9842,6,0,77628.5024,5,0,0.2196,4,0,0.4091,1,0.1612,334.5454,4,0.0768,38.723,3,0.0685,12.4108,6,0.0736,0.1,5,0.1169,1.0,4,0.0678,0.0,3,0.0645,0.0,3,0.0645,0.0,3,0.0677,0.0,3,0.0645,0.0492,2,0.0813,0.0602,2,0.0927
3,dimension_3d,generation,atlasnet,deepjeb_3d_3d,M,42.9335,0.5,28.7681,5,0,905.5526,3,0,0.0047,1,0,0.5148,2,0.1932,206.9694,2,0.0856,33.2905,3,0.0672,4.1567,3,0.0672,0.174,3,0.0843,1.0,3,0.0685,0.0,3,0.0685,0.0,3,0.0685,0.0,3,0.0685,0.0,3,0.0685,0.1058,3,0.0856,0.4104,6,0.0745
3,dimension_3d,generation,atlasnet,deepjeb_3d_3d,S,41.0848,0.5,28.7681,5,0,861.7991,3,0,0.0047,1,0,0.5183,3,0.2474,189.6934,2,0.0765,44.5983,3,0.0666,4.4528,3,0.0666,0.208,4,0.0674,1.0,3,0.063,0.0,3,0.063,0.0,3,0.063,0.0,2,0.0706,0.0,3,0.063,0.1074,2,0.0765,0.3647,6,0.0765
