Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,MS-SSIM,0.1756,gan3d,shapegf,pointflow,deepsdf,atlasnet,diffusionpointcloud
2,COV-CD,0.0908,pointflow,atlasnet,deepsdf,shapegf,gan3d,diffusionpointcloud
3,Uniformity-Δ,0.0834,deepsdf,pointflow,gan3d,diffusionpointcloud,atlasnet,shapegf
4,Manifold-Δ,0.0827,deepsdf,pointflow,atlasnet,gan3d,shapegf,diffusionpointcloud
5,MMD-CD,0.0815,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
6,1-NNA-CD,0.0773,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
7,MV-FID,0.0704,deepsdf,pointflow,atlasnet,gan3d,diffusionpointcloud,shapegf
8,Recall,0.069,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
9,Density,0.0681,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
10,FPD,0.0677,deepsdf,pointflow,atlasnet,gan3d,diffusionpointcloud,shapegf
11,Precision,0.0668,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
12,Coverage,0.0668,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
13,Training Time (s),0.0,shapegf,diffusionpointcloud,atlasnet,deepsdf,gan3d,pointflow
14,Inference Time (s),0.0,atlasnet,diffusionpointcloud,pointflow,gan3d,shapegf,deepsdf
15,Parameters (M),0.0,pointflow,deepsdf,diffusionpointcloud,shapegf,atlasnet,gan3d
