Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,MS-SSIM,0.1384,gan3d,deepsdf,atlasnet,pointflow,diffusionpointcloud,shapegf
2,F-Score,0.1123,atlasnet,pointflow,diffusionpointcloud,deepsdf,gan3d,shapegf
3,CD,0.1123,atlasnet,pointflow,diffusionpointcloud,deepsdf,gan3d,shapegf
4,EMD,0.0963,pointflow,diffusionpointcloud,deepsdf,atlasnet,gan3d,shapegf
5,Recall,0.0921,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
6,Density,0.0917,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
7,Precision,0.0917,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
8,Coverage,0.0917,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
9,MV-FID,0.0897,deepsdf,atlasnet,pointflow,gan3d,diffusionpointcloud,shapegf
10,FPD,0.0839,deepsdf,pointflow,atlasnet,gan3d,diffusionpointcloud,shapegf
11,Training Time (s),0.0,shapegf,diffusionpointcloud,atlasnet,gan3d,deepsdf,pointflow
12,Parameters (M),0.0,pointflow,deepsdf,diffusionpointcloud,shapegf,atlasnet,gan3d
13,Inference Time (s),0.0,atlasnet,diffusionpointcloud,gan3d,pointflow,shapegf,deepsdf
