Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,MS-SSIM,0.1584,gan3d,deepsdf,shapegf,pointflow,atlasnet,diffusionpointcloud
2,F-Score,0.1198,atlasnet,diffusionpointcloud,pointflow,shapegf,gan3d,deepsdf
3,CD,0.1198,atlasnet,pointflow,diffusionpointcloud,gan3d,shapegf,deepsdf
4,MV-FID,0.095,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
5,EMD,0.0886,pointflow,diffusionpointcloud,deepsdf,atlasnet,gan3d,shapegf
6,Coverage,0.084,pointflow,deepsdf,diffusionpointcloud,atlasnet,gan3d,shapegf
7,Density,0.084,pointflow,deepsdf,diffusionpointcloud,atlasnet,gan3d,shapegf
8,Precision,0.084,pointflow,deepsdf,diffusionpointcloud,atlasnet,gan3d,shapegf
9,Recall,0.0833,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
10,FPD,0.0833,pointflow,deepsdf,diffusionpointcloud,atlasnet,shapegf,gan3d
11,Training Time (s),0.0,shapegf,diffusionpointcloud,atlasnet,gan3d,deepsdf,pointflow
12,Parameters (M),0.0,pointflow,deepsdf,diffusionpointcloud,shapegf,atlasnet,gan3d
13,Inference Time (s),0.0,atlasnet,diffusionpointcloud,gan3d,pointflow,shapegf,deepsdf
