Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,MS-SSIM,0.1432,gan3d,shapegf,deepsdf,pointflow,atlasnet,diffusionpointcloud
2,F-Score,0.1401,atlasnet,pointflow,diffusionpointcloud,shapegf,gan3d,deepsdf
3,MV-FID,0.124,deepsdf,atlasnet,pointflow,gan3d,diffusionpointcloud,shapegf
4,CD,0.0924,pointflow,diffusionpointcloud,atlasnet,gan3d,deepsdf,shapegf
5,Recall,0.0855,pointflow,atlasnet,deepsdf,diffusionpointcloud,gan3d,shapegf
6,FPD,0.0848,pointflow,deepsdf,gan3d,atlasnet,diffusionpointcloud,shapegf
7,Density,0.0831,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
8,Coverage,0.0831,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
9,Precision,0.0831,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
10,EMD,0.0807,pointflow,diffusionpointcloud,atlasnet,deepsdf,gan3d,shapegf
11,Training Time (s),0.0,shapegf,diffusionpointcloud,atlasnet,deepsdf,gan3d,pointflow
12,Parameters (M),0.0,pointflow,deepsdf,diffusionpointcloud,shapegf,atlasnet,gan3d
13,Inference Time (s),0.0,atlasnet,diffusionpointcloud,gan3d,pointflow,shapegf,deepsdf
