Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,MS-SSIM,0.2217,shapegf,gan3d,deepsdf,pointflow,atlasnet,diffusionpointcloud
2,CD,0.1196,pointflow,atlasnet,gan3d,diffusionpointcloud,deepsdf,shapegf
3,MV-FID,0.0848,deepsdf,pointflow,atlasnet,gan3d,diffusionpointcloud,shapegf
4,F-Score,0.0836,pointflow,atlasnet,deepsdf,gan3d,diffusionpointcloud,shapegf
5,FPD,0.083,pointflow,deepsdf,atlasnet,gan3d,shapegf,diffusionpointcloud
6,Recall,0.0815,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
7,Density,0.0815,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
8,Coverage,0.0815,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
9,Precision,0.0815,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
10,EMD,0.0811,pointflow,deepsdf,diffusionpointcloud,atlasnet,gan3d,shapegf
11,Training Time (s),0.0,diffusionpointcloud,atlasnet,shapegf,gan3d,deepsdf,pointflow
12,Parameters (M),0.0,pointflow,deepsdf,diffusionpointcloud,shapegf,atlasnet,gan3d
13,Inference Time (s),0.0,atlasnet,gan3d,diffusionpointcloud,pointflow,shapegf,deepsdf
