Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,MS-SSIM,0.2035,gan3d,deepsdf,pointflow,atlasnet,diffusionpointcloud,shapegf
2,F-Score,0.1009,pointflow,atlasnet,deepsdf,gan3d,diffusionpointcloud,shapegf
3,CD,0.1009,pointflow,atlasnet,deepsdf,gan3d,diffusionpointcloud,shapegf
4,Precision,0.0869,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
5,Density,0.0869,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
6,Coverage,0.0869,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
7,EMD,0.086,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
8,Recall,0.0847,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
9,MV-FID,0.0825,deepsdf,pointflow,atlasnet,gan3d,diffusionpointcloud,shapegf
10,FPD,0.0807,pointflow,deepsdf,atlasnet,gan3d,diffusionpointcloud,shapegf
11,Training Time (s),0.0,shapegf,diffusionpointcloud,atlasnet,gan3d,deepsdf,pointflow
12,Parameters (M),0.0,pointflow,deepsdf,diffusionpointcloud,shapegf,atlasnet,gan3d
13,Inference Time (s),0.0,atlasnet,diffusionpointcloud,gan3d,pointflow,shapegf,deepsdf
