Rank,domain,task,model,dataset,size,Unified Score,Graph Density,Parameters (M) (Value),Parameters (M) (Rank),Parameters (M) (Weight),Training Time (s) (Value),Training Time (s) (Rank),Training Time (s) (Weight),Inference Time (s) (Value),Inference Time (s) (Rank),Inference Time (s) (Weight),MS-SSIM (Value),MS-SSIM (Rank),MS-SSIM (Weight),MV-FID (Value),MV-FID (Rank),MV-FID (Weight),FPD (Value),FPD (Rank),FPD (Weight),MMD-CD (Value),MMD-CD (Rank),MMD-CD (Weight),COV-CD (Value),COV-CD (Rank),COV-CD (Weight),1-NNA-CD (Value),1-NNA-CD (Rank),1-NNA-CD (Weight),Precision (Value),Precision (Rank),Precision (Weight),Density (Value),Density (Rank),Density (Weight),Recall (Value),Recall (Rank),Recall (Weight),Coverage (Value),Coverage (Rank),Coverage (Weight),Manifold-Δ (Value),Manifold-Δ (Rank),Manifold-Δ (Weight),Uniformity-Δ (Value),Uniformity-Δ (Rank),Uniformity-Δ (Weight)
1,dimension_3d,generation,deepsdf,deepjeb_3d_3d,L,100.0,0.5,2.1509,2,0.0658,8873.8756,4,0.067,0.3643,6,0.1035,0.5375,5,0.1154,40.8772,1,0.0634,15.6485,1,0.0529,3.2415,2,0.0575,0.138,4,0.0926,0.945,2,0.0535,0.99,1,0.049,1.5768,1,0.049,0.074,2,0.051,0.434,1,0.049,0.0095,1,0.0626,0.0004,1,0.0678
1,dimension_3d,generation,deepsdf,deepjeb_3d_3d,M,100.0,0.5,2.1509,2,0.0724,6885.5817,4,0.0641,0.3654,6,0.0583,0.54,4,0.1486,33.7771,1,0.0768,8.9434,1,0.0545,2.8903,1,0.0545,0.278,2,0.0641,0.908,1,0.0543,0.98,1,0.0543,1.3864,1,0.0543,0.372,1,0.0543,0.678,1,0.0543,0.0103,1,0.0768,0.0002,1,0.0583
1,dimension_3d,generation,deepsdf,deepjeb_3d_3d,S,100.0,0.5,2.1509,2,0.0658,5487.0288,4,0.1227,0.3676,6,0.069,0.5201,4,0.1575,23.5481,1,0.0627,7.5457,1,0.0526,2.7832,1,0.0526,0.366,1,0.0497,0.886,1,0.0479,0.836,1,0.0479,0.8588,1,0.0479,0.59,1,0.0561,0.726,1,0.0479,0.0012,1,0.0627,0.0008,1,0.0569
1,dimension_3d,generation,deepsdf,deepjeb_3d_3d,XL,100.0,0.5,2.1509,2,0.0573,28374.3133,4,0.0933,0.3732,6,0.1171,0.5178,2,0.1196,45.0323,1,0.0517,17.6811,2,0.0517,3.1324,2,0.0565,0.186,3,0.066,0.934,2,0.054,0.986,1,0.0512,1.3896,1,0.0512,0.158,1,0.0497,0.508,1,0.0512,0.0016,1,0.0639,0.0001,1,0.0655
1,dimension_3d,generation,deepsdf,deepwheel_3d_3d,L,100.0,0.5,2.1509,2,0.0724,5640.0429,4,0.0736,0.4356,6,0.1152,0.2574,2,0.0935,63.8568,1,0.0536,4.5332,2,0.0552,3.8197,3,0.0739,0.208,2,0.0593,0.977,1,0.0633,0.732,1,0.0526,0.736,1,0.0526,0.186,2,0.0548,0.532,1,0.0526,0.0071,1,0.0681,0.0073,1,0.0593
1,dimension_3d,generation,deepsdf,deepwheel_3d_3d,M,100.0,0.5,2.1509,2,0.0691,4619.8835,4,0.0917,0.4573,6,0.063,0.2622,3,0.1243,80.0762,1,0.0582,4.8719,1,0.0582,3.888,1,0.0624,0.156,2,0.0615,0.979,1,0.056,0.672,1,0.056,0.6308,1,0.056,0.156,2,0.0621,0.468,1,0.056,0.0047,1,0.0624,0.0077,1,0.063
1,dimension_3d,generation,deepsdf,deepwheel_3d_3d,S,100.0,0.5,2.1509,2,0.0751,2965.9415,4,0.1377,0.4463,6,0.0696,0.2601,1,0.0571,96.2667,1,0.0577,4.8569,1,0.0523,3.8433,1,0.0523,0.11,3,0.0993,0.959,1,0.0566,0.706,1,0.0566,0.696,1,0.0566,0.18,1,0.0509,0.472,1,0.0566,0.0004,1,0.0571,0.0034,1,0.0647
1,dimension_3d,generation,deepsdf,deepwheel_3d_3d,XL,100.0,0.5,2.1509,2,0.0666,9379.8074,4,0.0643,0.4351,6,0.0642,0.2613,2,0.0621,73.6449,1,0.0621,4.9463,2,0.0666,3.85,2,0.0643,0.162,2,0.0643,0.99,2,0.0621,0.612,1,0.0599,0.4416,1,0.0599,0.342,2,0.0666,0.446,1,0.0599,0.0097,1,0.1128,0.0099,1,0.0642
1,dimension_3d,generation,pointflow,drivaernet_3d_3d,L,100.0,0.5,1.4268,1,0.0634,148843.1737,6,0.0625,0.1298,3,0.1143,0.6549,3,0.1555,67.2838,2,0.0517,3.951,1,0.0495,1.7878,1,0.0541,0.384,1,0.0625,0.868,1,0.0643,0.196,1,0.0489,0.0752,2,0.0514,0.454,1,0.0489,0.232,1,0.0489,0.0264,3,0.067,0.014,2,0.0571
1,dimension_3d,generation,deepsdf,drivaernet_3d_3d,M,100.0,0.5,2.1509,2,0.0708,8983.0511,4,0.0981,0.3529,6,0.0755,0.6542,3,0.0981,13.6663,1,0.0574,8.8074,2,0.0584,1.9166,1,0.0574,0.154,2,0.0584,1.0,2,0.0927,0.086,1,0.0553,0.0328,1,0.0553,0.11,1,0.0553,0.122,1,0.0553,0.0251,1,0.0539,0.0039,1,0.0579
