Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,MS-SSIM,0.1337,shapegf,gan3d,deepsdf,pointflow,atlasnet,diffusionpointcloud
2,Inference Time (s),0.1003,atlasnet,diffusionpointcloud,gan3d,pointflow,shapegf,deepsdf
3,F-Score,0.0915,atlasnet,pointflow,diffusionpointcloud,gan3d,deepsdf,shapegf
4,MV-FID,0.0833,deepsdf,pointflow,atlasnet,gan3d,diffusionpointcloud,shapegf
5,Parameters (M),0.0732,pointflow,deepsdf,diffusionpointcloud,shapegf,atlasnet,gan3d
6,CD,0.071,pointflow,atlasnet,diffusionpointcloud,deepsdf,gan3d,shapegf
7,Training Time (s),0.0702,shapegf,diffusionpointcloud,atlasnet,gan3d,deepsdf,pointflow
8,Recall,0.0645,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
9,EMD,0.0644,pointflow,diffusionpointcloud,atlasnet,deepsdf,gan3d,shapegf
10,FPD,0.0638,pointflow,deepsdf,atlasnet,gan3d,diffusionpointcloud,shapegf
11,Precision,0.0613,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
12,Density,0.0613,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
13,Coverage,0.0613,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
