Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,MS-SSIM,0.1086,gan3d,deepsdf,pointflow,atlasnet,diffusionpointcloud,shapegf
2,Training Time (s),0.0919,shapegf,diffusionpointcloud,atlasnet,deepsdf,pointflow,gan3d
3,CD,0.0742,pointflow,atlasnet,deepsdf,diffusionpointcloud,gan3d,shapegf
4,F-Score,0.0742,atlasnet,pointflow,deepsdf,diffusionpointcloud,gan3d,shapegf
5,Inference Time (s),0.0659,atlasnet,diffusionpointcloud,pointflow,gan3d,shapegf,deepsdf
6,Parameters (M),0.0659,pointflow,deepsdf,diffusionpointcloud,shapegf,atlasnet,gan3d
7,EMD,0.0622,deepsdf,pointflow,diffusionpointcloud,gan3d,atlasnet,shapegf
8,MV-FID,0.0615,deepsdf,pointflow,atlasnet,gan3d,diffusionpointcloud,shapegf
9,Manifold-Δ,0.0606,deepsdf,gan3d,pointflow,atlasnet,shapegf,diffusionpointcloud
10,Uniformity-Δ,0.0596,deepsdf,pointflow,gan3d,diffusionpointcloud,atlasnet,shapegf
11,FPD,0.057,deepsdf,pointflow,atlasnet,gan3d,diffusionpointcloud,shapegf
12,Recall,0.0557,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
13,Precision,0.0542,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
14,Density,0.0542,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
15,Coverage,0.0542,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
