Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,MS-SSIM,0.1193,gan3d,deepsdf,shapegf,pointflow,atlasnet,diffusionpointcloud
2,F-Score,0.0946,atlasnet,diffusionpointcloud,pointflow,shapegf,gan3d,deepsdf
3,CD,0.0946,atlasnet,pointflow,diffusionpointcloud,gan3d,shapegf,deepsdf
4,Inference Time (s),0.0901,atlasnet,diffusionpointcloud,gan3d,pointflow,shapegf,deepsdf
5,Training Time (s),0.0751,shapegf,diffusionpointcloud,atlasnet,gan3d,deepsdf,pointflow
6,MV-FID,0.0735,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
7,EMD,0.0722,pointflow,diffusionpointcloud,deepsdf,atlasnet,gan3d,shapegf
8,Parameters (M),0.0654,pointflow,deepsdf,diffusionpointcloud,shapegf,atlasnet,gan3d
9,FPD,0.0645,pointflow,deepsdf,diffusionpointcloud,atlasnet,shapegf,gan3d
10,Precision,0.0629,pointflow,deepsdf,diffusionpointcloud,atlasnet,gan3d,shapegf
11,Density,0.0629,pointflow,deepsdf,diffusionpointcloud,atlasnet,gan3d,shapegf
12,Coverage,0.0629,pointflow,deepsdf,diffusionpointcloud,atlasnet,gan3d,shapegf
13,Recall,0.0618,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
