Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,MS-SSIM,0.1575,pointflow,gan3d,atlasnet,deepsdf,diffusionpointcloud,shapegf
2,Training Time (s),0.1227,shapegf,diffusionpointcloud,atlasnet,deepsdf,pointflow,gan3d
3,Inference Time (s),0.069,atlasnet,diffusionpointcloud,pointflow,gan3d,shapegf,deepsdf
4,Parameters (M),0.0658,pointflow,deepsdf,diffusionpointcloud,shapegf,atlasnet,gan3d
5,MV-FID,0.0627,deepsdf,atlasnet,pointflow,gan3d,shapegf,diffusionpointcloud
6,Manifold-Δ,0.0627,deepsdf,atlasnet,pointflow,gan3d,shapegf,diffusionpointcloud
7,Uniformity-Δ,0.0569,deepsdf,pointflow,diffusionpointcloud,gan3d,shapegf,atlasnet
8,Recall,0.0561,deepsdf,atlasnet,diffusionpointcloud,gan3d,pointflow,shapegf
9,FPD,0.0526,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
10,MMD-CD,0.0526,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
11,COV-CD,0.0497,deepsdf,pointflow,gan3d,atlasnet,diffusionpointcloud,shapegf
12,Density,0.0479,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
13,Precision,0.0479,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
14,1-NNA-CD,0.0479,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
15,Coverage,0.0479,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
