Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,MS-SSIM,0.1196,gan3d,deepsdf,atlasnet,pointflow,shapegf,diffusionpointcloud
2,Inference Time (s),0.1171,atlasnet,diffusionpointcloud,pointflow,gan3d,shapegf,deepsdf
3,Training Time (s),0.0933,shapegf,diffusionpointcloud,atlasnet,deepsdf,pointflow,gan3d
4,COV-CD,0.066,pointflow,atlasnet,deepsdf,gan3d,diffusionpointcloud,shapegf
5,Uniformity-Δ,0.0655,deepsdf,diffusionpointcloud,pointflow,gan3d,shapegf,atlasnet
6,Manifold-Δ,0.0639,deepsdf,gan3d,pointflow,atlasnet,diffusionpointcloud,shapegf
7,Parameters (M),0.0573,pointflow,deepsdf,diffusionpointcloud,shapegf,atlasnet,gan3d
8,MMD-CD,0.0565,pointflow,deepsdf,atlasnet,diffusionpointcloud,shapegf,gan3d
9,1-NNA-CD,0.054,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
10,MV-FID,0.0517,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
11,FPD,0.0517,pointflow,deepsdf,diffusionpointcloud,atlasnet,gan3d,shapegf
12,Density,0.0512,deepsdf,pointflow,diffusionpointcloud,atlasnet,gan3d,shapegf
13,Precision,0.0512,deepsdf,pointflow,diffusionpointcloud,atlasnet,gan3d,shapegf
14,Coverage,0.0512,deepsdf,pointflow,diffusionpointcloud,atlasnet,gan3d,shapegf
15,Recall,0.0497,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
