Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,MS-SSIM,0.1296,gan3d,deepsdf,pointflow,atlasnet,shapegf,diffusionpointcloud
2,Manifold-Δ,0.0816,deepsdf,atlasnet,pointflow,diffusionpointcloud,shapegf,gan3d
3,Parameters (M),0.0643,pointflow,deepsdf,diffusionpointcloud,shapegf,atlasnet,gan3d
4,Uniformity-Δ,0.0641,deepsdf,pointflow,gan3d,diffusionpointcloud,atlasnet,shapegf
5,Inference Time (s),0.0641,atlasnet,diffusionpointcloud,gan3d,pointflow,shapegf,deepsdf
6,Training Time (s),0.0631,shapegf,diffusionpointcloud,atlasnet,gan3d,deepsdf,pointflow
7,EMD,0.063,deepsdf,pointflow,diffusionpointcloud,atlasnet,gan3d,shapegf
8,CD,0.062,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
9,F-Score,0.062,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
10,FPD,0.0614,pointflow,deepsdf,atlasnet,gan3d,diffusionpointcloud,shapegf
11,MV-FID,0.0592,deepsdf,pointflow,atlasnet,gan3d,diffusionpointcloud,shapegf
12,Recall,0.058,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
13,Precision,0.0558,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
14,Density,0.0558,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
15,Coverage,0.0558,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
