Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,MS-SSIM,0.1342,shapegf,gan3d,deepsdf,pointflow,atlasnet,diffusionpointcloud
2,EMD,0.0663,deepsdf,pointflow,diffusionpointcloud,gan3d,atlasnet,shapegf
3,Parameters (M),0.0661,pointflow,deepsdf,diffusionpointcloud,shapegf,atlasnet,gan3d
4,F-Score,0.064,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
5,CD,0.064,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
6,Inference Time (s),0.0639,atlasnet,diffusionpointcloud,gan3d,shapegf,pointflow,deepsdf
7,Uniformity-Δ,0.0639,deepsdf,pointflow,gan3d,diffusionpointcloud,atlasnet,shapegf
8,Training Time (s),0.0638,shapegf,diffusionpointcloud,atlasnet,gan3d,deepsdf,pointflow
9,Recall,0.0624,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
10,Manifold-Δ,0.0622,deepsdf,pointflow,atlasnet,shapegf,diffusionpointcloud,gan3d
11,MV-FID,0.0601,deepsdf,pointflow,atlasnet,gan3d,shapegf,diffusionpointcloud
12,FPD,0.0601,deepsdf,pointflow,atlasnet,gan3d,diffusionpointcloud,shapegf
13,Precision,0.0564,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
14,Density,0.0564,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
15,Coverage,0.0564,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
