Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,Training Time (s),0.1377,shapegf,diffusionpointcloud,atlasnet,deepsdf,gan3d,pointflow
2,COV-CD,0.0993,pointflow,atlasnet,deepsdf,shapegf,gan3d,diffusionpointcloud
3,Parameters (M),0.0751,pointflow,deepsdf,diffusionpointcloud,shapegf,atlasnet,gan3d
4,Inference Time (s),0.0696,diffusionpointcloud,atlasnet,pointflow,gan3d,shapegf,deepsdf
5,Uniformity-Δ,0.0647,deepsdf,pointflow,diffusionpointcloud,gan3d,atlasnet,shapegf
6,MV-FID,0.0577,deepsdf,atlasnet,pointflow,diffusionpointcloud,gan3d,shapegf
7,MS-SSIM,0.0571,deepsdf,atlasnet,pointflow,gan3d,diffusionpointcloud,shapegf
8,Manifold-Δ,0.0571,deepsdf,atlasnet,pointflow,shapegf,gan3d,diffusionpointcloud
9,Precision,0.0566,deepsdf,atlasnet,diffusionpointcloud,gan3d,pointflow,shapegf
10,Density,0.0566,deepsdf,atlasnet,diffusionpointcloud,gan3d,pointflow,shapegf
11,1-NNA-CD,0.0566,deepsdf,atlasnet,diffusionpointcloud,gan3d,pointflow,shapegf
12,Coverage,0.0566,deepsdf,atlasnet,diffusionpointcloud,gan3d,pointflow,shapegf
13,FPD,0.0523,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
14,MMD-CD,0.0523,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
15,Recall,0.0509,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
