Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,MS-SSIM,0.1523,shapegf,gan3d,deepsdf,pointflow,atlasnet,diffusionpointcloud
2,CD,0.0974,pointflow,atlasnet,gan3d,diffusionpointcloud,deepsdf,shapegf
3,Inference Time (s),0.0954,atlasnet,gan3d,diffusionpointcloud,pointflow,shapegf,deepsdf
4,Parameters (M),0.0735,pointflow,deepsdf,diffusionpointcloud,shapegf,atlasnet,gan3d
5,F-Score,0.0699,pointflow,atlasnet,deepsdf,gan3d,diffusionpointcloud,shapegf
6,Training Time (s),0.0691,diffusionpointcloud,atlasnet,shapegf,gan3d,deepsdf,pointflow
7,MV-FID,0.0689,deepsdf,pointflow,atlasnet,gan3d,diffusionpointcloud,shapegf
8,FPD,0.0664,pointflow,deepsdf,atlasnet,gan3d,shapegf,diffusionpointcloud
9,EMD,0.0647,pointflow,deepsdf,diffusionpointcloud,atlasnet,gan3d,shapegf
10,Precision,0.0606,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
11,Density,0.0606,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
12,Recall,0.0606,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
13,Coverage,0.0606,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
