Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,MS-SSIM,0.1574,gan3d,deepsdf,pointflow,atlasnet,diffusionpointcloud,shapegf
2,Inference Time (s),0.0931,atlasnet,gan3d,diffusionpointcloud,shapegf,pointflow,deepsdf
3,CD,0.081,atlasnet,pointflow,deepsdf,diffusionpointcloud,shapegf,gan3d
4,F-Score,0.0803,atlasnet,pointflow,deepsdf,diffusionpointcloud,gan3d,shapegf
5,Parameters (M),0.0695,pointflow,deepsdf,diffusionpointcloud,shapegf,atlasnet,gan3d
6,Coverage,0.0694,pointflow,atlasnet,deepsdf,diffusionpointcloud,gan3d,shapegf
7,Precision,0.0694,pointflow,atlasnet,deepsdf,diffusionpointcloud,gan3d,shapegf
8,Density,0.0694,pointflow,atlasnet,deepsdf,diffusionpointcloud,gan3d,shapegf
9,Recall,0.0672,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
10,MV-FID,0.062,pointflow,deepsdf,atlasnet,gan3d,shapegf,diffusionpointcloud
11,Training Time (s),0.062,diffusionpointcloud,shapegf,gan3d,atlasnet,deepsdf,pointflow
12,EMD,0.0597,pointflow,deepsdf,atlasnet,diffusionpointcloud,shapegf,gan3d
13,FPD,0.0597,pointflow,deepsdf,atlasnet,diffusionpointcloud,shapegf,gan3d
