Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,Coverage,0.1986,atlasnet,deepsdf,diffusionpointcloud,gan3d,pointflow,shapegf
2,Precision,0.1986,atlasnet,deepsdf,diffusionpointcloud,gan3d,pointflow,shapegf
3,Density,0.1986,atlasnet,deepsdf,diffusionpointcloud,gan3d,pointflow,shapegf
4,MS-SSIM,0.0453,deepsdf,atlasnet,gan3d,pointflow,diffusionpointcloud,shapegf
5,Training Time (s),0.0438,diffusionpointcloud,shapegf,atlasnet,deepsdf,pointflow,gan3d
6,Parameters (M),0.0429,pointflow,deepsdf,diffusionpointcloud,shapegf,atlasnet,gan3d
7,Inference Time (s),0.0383,atlasnet,diffusionpointcloud,pointflow,gan3d,shapegf,deepsdf
8,Uniformity-Δ,0.0364,deepsdf,pointflow,gan3d,diffusionpointcloud,atlasnet,shapegf
9,CD,0.03,pointflow,atlasnet,diffusionpointcloud,shapegf,gan3d,deepsdf
10,Recall,0.03,pointflow,atlasnet,deepsdf,diffusionpointcloud,gan3d,shapegf
11,MV-FID,0.0283,pointflow,atlasnet,deepsdf,gan3d,shapegf,diffusionpointcloud
12,Manifold-Δ,0.0283,pointflow,atlasnet,deepsdf,gan3d,shapegf,diffusionpointcloud
13,F-Score,0.0278,pointflow,atlasnet,diffusionpointcloud,gan3d,deepsdf,shapegf
14,FPD,0.0265,pointflow,atlasnet,diffusionpointcloud,deepsdf,gan3d,shapegf
15,EMD,0.0265,pointflow,atlasnet,diffusionpointcloud,deepsdf,gan3d,shapegf
