Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,MS-SSIM,0.1184,gan3d,shapegf,deepsdf,pointflow,atlasnet,diffusionpointcloud
2,Manifold-Δ,0.0869,pointflow,atlasnet,gan3d,deepsdf,diffusionpointcloud,shapegf
3,Inference Time (s),0.0859,atlasnet,diffusionpointcloud,gan3d,pointflow,shapegf,deepsdf
4,F-Score,0.0846,pointflow,atlasnet,diffusionpointcloud,shapegf,deepsdf,gan3d
5,Uniformity-Δ,0.0665,deepsdf,pointflow,diffusionpointcloud,gan3d,shapegf,atlasnet
6,Training Time (s),0.0633,shapegf,diffusionpointcloud,atlasnet,gan3d,deepsdf,pointflow
7,CD,0.0606,pointflow,atlasnet,deepsdf,diffusionpointcloud,shapegf,gan3d
8,MV-FID,0.0588,deepsdf,pointflow,atlasnet,diffusionpointcloud,gan3d,shapegf
9,Parameters (M),0.0559,pointflow,deepsdf,diffusionpointcloud,shapegf,atlasnet,gan3d
10,FPD,0.0559,pointflow,deepsdf,diffusionpointcloud,shapegf,atlasnet,gan3d
11,EMD,0.0528,pointflow,deepsdf,diffusionpointcloud,atlasnet,shapegf,gan3d
12,Density,0.0526,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
13,Precision,0.0526,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
14,Coverage,0.0526,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
15,Recall,0.0526,pointflow,deepsdf,atlasnet,diffusionpointcloud,gan3d,shapegf
